eye02.occupancy,eye03.occupancy,eye04.occupancy,eye05.occupancy,eye09.occupancy,eye11.occupancy,eye.humidity.mean,eye.humidity.std,eye.humidity.median,eye.humidity.min,eye.humidity.max,eye.humidity.iqr,eye.light.mean,eye.light.std,eye.light.median,eye.light.min,eye.light.max,eye.light.iqr,eye.motion.mean,eye.motion.std,eye.motion.median,eye.motion.min,eye.motion.max,eye.motion.iqr,eye.temperature.mean,eye.temperature.std,eye.temperature.median,eye.temperature.min,eye.temperature.max,eye.temperature.iqr,gas.humidity.mean,gas.humidity.std,gas.humidity.median,gas.humidity.min,gas.humidity.max,gas.humidity.iqr,gas.light.mean,gas.light.std,gas.light.median,gas.light.min,gas.light.max,gas.light.iqr,gas.motion.mean,gas.motion.std,gas.motion.median,gas.motion.min,gas.motion.max,gas.motion.iqr,gas.temperature.mean,gas.temperature.std,gas.temperature.median,gas.temperature.min,gas.temperature.max,gas.temperature.iqr,voc.humidity.mean,voc.humidity.std,voc.humidity.median,voc.humidity.min,voc.humidity.max,voc.humidity.iqr,voc.light.mean,voc.light.std,voc.light.median,voc.light.min,voc.light.max,voc.light.iqr,voc.motion.mean,voc.motion.std,voc.motion.median,voc.motion.min,voc.motion.max,voc.motion.iqr,voc.temperature.mean,voc.temperature.std,voc.temperature.median,voc.temperature.min,voc.temperature.max,voc.temperature.iqr,gas.co2.mean,gas.co2.std,gas.co2.median,gas.co2.max,gas.co2.min,gas.co2.iqr,voc.tvoc.mean,voc.tvoc.std,voc.tvoc.median,voc.tvoc.max,voc.tvoc.min,voc.tvoc.iqr
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,1.5,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.45,0.45,0.45,0.45,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,470.33,69.39,455.5,569.0,400.0,105.25,118.2,58.22,109.0,203.0,65.0,80.0
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.62,1.62,1.62,1.62,1.62,1.62,1.75,1.75,1.75,1.75,1.75,1.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,469.5,71.45,453.5,578.0,398.0,99.25,120.2,59.81,117.0,203.0,59.0,84.0
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,1.7,1.7,1.7,2.5,2.5,2.5,2.5,2.5,2.5,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.52,0.52,0.52,0.52,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,465.67,65.52,460.5,569.0,391.0,79.0,118.0,65.55,109.0,206.0,51.0,98.0
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.68,1.68,1.68,1.68,1.68,1.68,1.75,1.75,1.75,1.75,1.75,1.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,469.67,62.16,454.0,565.0,410.0,84.25,119.4,59.85,113.0,209.0,66.0,77.0
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,1.5,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,468.17,67.4,445.0,575.0,401.0,84.25,120.0,64.33,106.0,217.0,63.0,82.0
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,1.5,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,464.5,58.21,442.5,546.0,407.0,85.0,110.0,62.56,108.0,199.0,43.0,78.0
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,1.62,1.62,1.62,1.62,1.62,1.5,1.5,1.5,1.5,1.5,1.5,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.55,0.55,0.55,0.55,1.0,1.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,477.17,55.68,475.5,554.0,398.0,64.25,117.4,65.65,111.0,215.0,55.0,82.0
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,475.0,55.81,464.0,568.0,421.0,64.75,114.4,56.19,111.0,196.0,53.0,64.0
0.0,0.0,0.0,0.0,1.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.55,1.55,1.55,1.55,1.55,1.75,1.75,1.75,1.75,1.75,1.75,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,1.0,1.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,471.67,51.36,468.5,541.0,401.0,63.5,115.2,61.1,112.0,205.0,55.0,76.0
0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75,1.75,1.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.57,1.57,1.57,1.57,1.57,1.57,1.75,1.75,1.75,1.75,1.75,1.75,2.75,2.75,2.75,2.75,2.75,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,468.0,53.58,462.0,544.0,397.0,65.25,120.4,59.96,108.0,213.0,68.0,71.0
